index,name,x,y,sizeCandidate,populationSize,ownerCandidate,founderCandidate,foodbox,shieldbox,baseTrade,b6,b12,b14,b16,b18,b24,b26,b38,b40,b42
0,"Berlin",54,48,255,20,3,3,0,75,59,98,255,255,54,48,3,3,0,0,0
1,"Vienna",59,65,9,12,3,3,0,20,25,52,52,9,59,65,3,3,0,0,0
2,"Munich",55,63,3,14,3,3,0,80,25,20,34,3,55,63,3,3,0,0,0
3,"Rome",56,82,3,12,3,3,0,0,25,22,28,3,56,82,3,3,0,0,0
4,"Milan",53,73,3,10,3,3,0,0,18,20,27,3,53,73,3,3,0,0,0
5,"Venice",56,72,2,9,3,3,0,0,15,7,21,2,56,72,3,3,0,0,0
6,"Taranto",61,87,2,6,3,3,0,0,5,12,22,2,61,87,3,3,0,0,0
7,"Vichy",46,64,0,6,7,7,0,0,14,1,15,0,46,64,7,7,0,0,0
8,"Marseilles",49,73,4,12,7,7,0,0,27,9,20,4,49,73,7,7,0,0,0
9,"St. Nazaire",40,58,4,12,7,7,0,0,21,22,30,4,40,58,7,7,0,0,0
10,"Tunis",50,94,3,4,7,7,0,0,11,16,38,3,50,94,7,7,0,0,0
11,"Algiers",43,95,2,7,7,7,0,0,8,6,14,2,43,95,7,7,0,0,0
12,"Casablanca",31,97,2,5,7,7,0,0,9,4,21,2,31,97,7,7,0,0,0
13,"Beirut",79,93,2,7,7,7,0,0,10,6,16,2,79,93,7,7,0,0,0
14,"Damascus",83,93,2,5,7,7,0,0,8,6,19,2,83,93,7,7,0,0,0
15,"London",41,43,2,20,6,6,0,45,47,4,15,2,41,43,6,6,1,0,0
16,"Southampton",38,46,10,16,6,6,0,0,44,72,53,10,38,46,6,6,1,0,0
17,"Manchester",37,39,9,20,6,6,0,0,36,40,41,9,37,39,6,6,21,0,0
18,"Belfast",33,31,10,11,6,6,0,0,31,36,42,10,33,31,6,6,0,0,0
19,"Newcastle",38,32,5,18,6,6,0,0,37,24,30,5,38,32,6,6,0,0,0
20,"Edinburgh",38,26,8,12,6,6,0,0,29,36,42,8,38,26,6,6,0,0,0
21,"Washington",1,31,6,24,6,6,0,20,36,24,30,6,1,31,6,6,253,2,0
22,"New York",2,22,8,30,6,6,0,0,42,64,48,8,2,22,6,6,213,170,0
23,"Alexandria",73,105,11,10,6,6,0,20,22,76,62,11,73,105,6,6,0,0,0
24,"Cologne",50,54,5,16,3,3,0,0,37,20,28,5,50,54,3,3,1,0,0
25,"Kiel",51,43,5,12,3,3,0,25,32,28,41,5,51,43,3,3,0,0,0
26,"Frankfurt",52,58,5,12,3,3,0,60,23,24,30,5,52,58,3,3,0,0,0
27,"Dresden",56,54,2,15,3,3,0,0,44,16,29,2,56,54,3,3,0,0,0
28,"Prague",59,59,5,12,3,3,0,0,20,32,44,5,59,59,3,3,0,0,0
29,"Warsaw",63,51,2,10,3,3,0,0,16,14,31,2,63,51,3,3,0,0,0
30,"Konigsberg",62,44,1,8,3,3,0,50,12,10,30,1,62,44,3,3,0,0,0
31,"Krakow",63,57,1,8,3,3,0,0,4,12,23,1,63,57,3,3,0,0,0
32,"Budapest",63,67,0,8,3,3,0,0,11,2,23,0,63,67,3,3,0,0,0
33,"Bucharest",66,74,1,12,3,3,0,25,19,4,24,1,66,74,3,3,0,0,0
34,"Tripoli",54,104,2,7,3,3,0,0,13,12,33,2,54,104,3,3,0,0,0
35,"Oslo",53,29,1,5,3,3,0,0,6,4,22,1,53,29,3,3,0,0,0
36,"Bergen",49,25,0,3,3,3,0,0,5,2,16,0,49,25,3,3,0,0,0
