index,typeIndex,typeName,ownerCandidate,x,y,nativeX,movesUsed,hpLost,workProgress,commodity,orders,orderName,civ2State,freecivActivity,homeCityIndex,homeCityName,gotoX,gotoY,links,flagBytes,movedCandidate,veteranCandidate,starCandidate
0,10,"Alpine Troops",3,54,48,27,0,0,0,0,0,"Unknown (0)","Fortify","Fortifying",0,"Berlin",,,"","27 00 03",false,false,true
1,10,"Alpine Troops",3,54,48,27,0,255,255,255,0,"Unknown (0)","Fortify","Fortifying",1,"Vienna",,,"","00 01 03",false,false,true
2,11,"Riflemen",3,54,48,27,0,255,255,0,0,"Unknown (0)","Fortify","Fortifying",2,"Munich",,,"","00 01 03",false,false,true
3,11,"Riflemen",7,46,64,23,0,255,255,1,0,"Unknown (0)","Idle","Idle",,"",,,"","00 01 00",false,false,false
4,8,"Fanatics",0,83,105,41,255,255,255,255,7,"Mine","Idle","Idle",32,"Budapest",,,"","00 ff 00",false,true,false
5,8,"Fanatics",0,85,101,42,255,255,255,255,255,"None","Idle","Idle",,"",,,"","00 ff 00",false,true,false
6,8,"Fanatics",0,91,105,45,255,255,255,255,255,"None","Idle","Idle",,"",,,"","00 ff 00",false,true,false
7,8,"Fanatics",0,89,111,44,255,255,255,255,255,"None","Idle","Idle",,"",,,"","00 ff 00",false,true,false
8,1,"Engineers",1,75,57,37,0,255,255,255,255,"None","Idle","Idle",,"",,,"","00 ff 06",false,true,false
9,1,"Engineers",1,76,34,38,0,255,255,255,255,"None","Idle","Idle",49,"Izmir",,,"","00 ff 00",false,true,false
10,11,"Riflemen",3,69,19,34,0,255,255,255,63,"Unknown (63)","FortifiedCandidate","Idle",35,"Oslo",,,"","00 ff 00",false,true,false
11,10,"Alpine Troops",3,66,26,33,2,255,255,255,88,"Unknown (88)","Idle","Idle",,"",,,"","00 02 00",false,false,false
12,11,"Riflemen",3,67,25,33,2,255,255,255,88,"Unknown (88)","Idle","Idle",13,"Beirut",,,"","00 ff 00",false,true,false
13,11,"Riflemen",3,66,26,33,2,255,255,255,88,"Unknown (88)","Idle","Idle",,"",,,"","00 ff 00",false,true,false
14,10,"Alpine Troops",3,64,28,32,0,255,255,11,88,"Unknown (88)","Fortify","Fortifying",,"",,,"","00 ff 03",false,true,true
15,22,"Armor",3,50,52,25,0,255,255,255,88,"Unknown (88)","FortifiedCandidate","Idle",,"",,,"","00 01 00",false,false,false
16,11,"Riflemen",5,62,72,31,0,255,255,130,0,"Unknown (0)","Fortify","Fortifying",,"",,,"","00 ff 03",false,true,true
17,10,"Alpine Troops",0,52,68,26,255,255,255,255,255,"None","Idle","Idle",,"",,,"","00 01 00",false,false,false
18,10,"Alpine Troops",0,50,68,25,255,255,255,255,255,"None","Idle","Idle",,"",,,"","00 ff 00",false,true,false
19,9,"Partisans",0,32,38,16,255,255,255,255,255,"None","Idle","Idle",,"",,,"","00 ff 00",false,true,false
20,11,"Riflemen",7,50,72,25,8,255,255,255,255,"None","Idle","Idle",,"",,,"","00 ff 00",false,true,false
21,11,"Riflemen",4,45,75,22,0,255,255,255,8,"Transform","Fortify","Fortifying",,"",,,"","00 02 03",false,false,true
22,11,"Riflemen",4,43,73,21,128,255,255,255,41,"Unknown (41)","Fortify","Fortifying",,"",,,"","00 02 03",false,false,true
23,10,"Alpine Troops",4,39,79,19,0,255,255,255,42,"Unknown (42)","Fortify","Fortifying",,"",,,"","00 02 03",false,false,true
